,medal_type,medal_code,medal_date,athlete_short_name,athlete_name,country_code,discipline_code
56,Bronze Medal,3,2021-07-25 00:00:00.0,HENTSCHEL L,HENTSCHEL Lena,GER,DIV
57,Bronze Medal,3,2021-07-25 00:00:00.0,PUNZEL T,PUNZEL Tina,GER,DIV
58,Gold Medal,1,2021-07-25 00:00:00.0,CANNONE R,CANNONE Romain,FRA,FEN
59,Silver Medal,2,2021-07-25 00:00:00.0,SIKLOSI G,SIKLOSI Gergely,HUN,FEN
60,Bronze Medal,3,2021-07-25 00:00:00.0,REIZLIN I,REIZLIN Igor,UKR,FEN
61,Gold Medal,1,2021-07-25 00:00:00.0,KIEFER L,KIEFER Lee,USA,FEN
62,Silver Medal,2,2021-07-25 00:00:00.0,DERIGLAZOVA I,DERIGLAZOVA Inna,ROC,FEN
63,Bronze Medal,3,2021-07-25 00:00:00.0,KOROBEYNIKOVA L,KOROBEYNIKOVA Larisa,ROC,FEN
64,Gold Medal,1,2021-07-25 00:00:00.0,ABE H,ABE Hifumi,JPN,JUD
65,Silver Medal,2,2021-07-25 00:00:00.0,MARGVELASHVILI V,MARGVELASHVILI Vazha,GEO,JUD
66,Bronze Medal,3,2021-07-25 00:00:00.0,AN B,AN Baul,KOR,JUD
67,Bronze Medal,3,2021-07-25 00:00:00.0,CARGNIN D,CARGNIN Daniel,BRA,JUD
68,Gold Medal,1,2021-07-25 00:00:00.0,ABE U,ABE Uta,JPN,JUD
69,Silver Medal,2,2021-07-25 00:00:00.0,BUCHARD A,BUCHARD Amandine,FRA,JUD
70,Bronze Medal,3,2021-07-25 00:00:00.0,GILES C,GILES Chelsie,GBR,JUD
71,Bronze Medal,3,2021-07-25 00:00:00.0,GIUFFRIDA O,GIUFFRIDA Odette,ITA,JUD
72,Gold Medal,1,2021-07-25 00:00:00.0,BATSARASHKINA V,BATSARASHKINA Vitalina,ROC,SHO
73,Silver Medal,2,2021-07-25 00:00:00.0,KOSTADINOVA A,KOSTADINOVA Antoaneta,BUL,SHO
74,Bronze Medal,3,2021-07-25 00:00:00.0,JIANG R,JIANG Ranxin,CHN,SHO
75,Gold Medal,1,2021-07-25 00:00:00.0,SHANER W,SHANER William,USA,SHO
76,Silver Medal,2,2021-07-25 00:00:00.0,SHENG L,SHENG Lihao,CHN,SHO
77,Bronze Medal,3,2021-07-25 00:00:00.0,YANG H,YANG Haoran,CHN,SHO
78,Gold Medal,1,2021-07-25 00:00:00.0,HORIGOME Y,HORIGOME Yuto,JPN,SKB
79,Silver Medal,2,2021-07-25 00:00:00.0,HOEFLER K,HOEFLER Kelvin,BRA,SKB
80,Bronze Medal,3,2021-07-25 00:00:00.0,EATON J,EATON Jagger,USA,SKB
81,Gold Medal,1,2021-07-25 00:00:00.0,HAFNAOUI A,HAFNAOUI Ahmed,TUN,SWM
82,Silver Medal,2,2021-07-25 00:00:00.0,McLOUGHLIN J.,McLOUGHLIN Jack,AUS,SWM
83,Bronze Medal,3,2021-07-25 00:00:00.0,SMITH K,SMITH Kieran,USA,SWM
84,Gold Medal,1,2021-07-25 00:00:00.0,KALISZ C,KALISZ Chase,USA,SWM
85,Silver Medal,2,2021-07-25 00:00:00.0,LITHERLAND J,LITHERLAND Jay,USA,SWM
86,Bronze Medal,3,2021-07-25 00:00:00.0,SMITH B,SMITH Brendon,AUS,SWM
87,Gold Medal,1,2021-07-25 00:00:00.0,CAMPBELL C,CAMPBELL Cate,AUS,SWM
88,Gold Medal,1,2021-07-25 00:00:00.0,CAMPBELL B,CAMPBELL Bronte,AUS,SWM
89,Gold Medal,1,2021-07-25 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
90,Gold Medal,1,2021-07-25 00:00:00.0,WILSON M,WILSON Madison,AUS,SWM
91,Gold Medal,1,2021-07-25 00:00:00.0,O'CALLAGHAN M,O'CALLAGHAN Mollie,AUS,SWM
92,Gold Medal,1,2021-07-25 00:00:00.0,HARRIS M,HARRIS Meg,AUS,SWM
93,Silver Medal,2,2021-07-25 00:00:00.0,OLEKSIAK P,OLEKSIAK Penny,CAN,SWM
94,Silver Medal,2,2021-07-25 00:00:00.0,SMITH R,SMITH Rebecca,CAN,SWM
95,Silver Medal,2,2021-07-25 00:00:00.0,SANCHEZ K,SANCHEZ Kayla,CAN,SWM
96,Silver Medal,2,2021-07-25 00:00:00.0,MACNEIL M,MACNEIL Margaret,CAN,SWM
97,Silver Medal,2,2021-07-25 00:00:00.0,RUCK T,RUCK Taylor,CAN,SWM
98,Bronze Medal,3,2021-07-25 00:00:00.0,BROWN E,BROWN Erika,USA,SWM
99,Bronze Medal,3,2021-07-25 00:00:00.0,WEITZEIL A,WEITZEIL Abbey,USA,SWM
100,Bronze Medal,3,2021-07-25 00:00:00.0,de LOOF C,de LOOF Catie,USA,SWM
101,Bronze Medal,3,2021-07-25 00:00:00.0,SCHMITT A,SCHMITT Allison,USA,SWM
102,Bronze Medal,3,2021-07-25 00:00:00.0,HINDS N,HINDS Natalie,USA,SWM
103,Bronze Medal,3,2021-07-25 00:00:00.0,SMOLIGA O,SMOLIGA Olivia,USA,SWM
104,Bronze Medal,3,2021-07-25 00:00:00.0,MANUEL S,MANUEL Simone,USA,SWM
105,Gold Medal,1,2021-07-25 00:00:00.0,OHASHI Y,OHASHI Yui,JPN,SWM
106,Silver Medal,2,2021-07-25 00:00:00.0,WEYANT E,WEYANT Emma,USA,SWM
107,Bronze Medal,3,2021-07-25 00:00:00.0,FLICKINGER H,FLICKINGER Hali,USA,SWM
108,Gold Medal,1,2021-07-25 00:00:00.0,RASHITOV U,RASHITOV Ulugbek,UZB,TKW
109,Silver Medal,2,2021-07-25 00:00:00.0,SINDEN B,SINDEN Bradly,GBR,TKW
110,Bronze Medal,3,2021-07-25 00:00:00.0,RECBER H,RECBER Hakan,TUR,TKW
111,Bronze Medal,3,2021-07-25 00:00:00.0,ZHAO S,ZHAO Shuai,CHN,TKW
112,Gold Medal,1,2021-07-25 00:00:00.0,ZOLOTIC A,ZOLOTIC Anastasija,USA,TKW
113,Silver Medal,2,2021-07-25 00:00:00.0,MININA T,MININA Tatiana,ROC,TKW
114,Bronze Medal,3,2021-07-25 00:00:00.0,LO CL,LO Chia-Ling,TPE,TKW
115,Bronze Medal,3,2021-07-25 00:00:00.0,ILGUN HK,ILGUN Hatice Kubra,TUR,TKW
116,Gold Medal,1,2021-07-25 00:00:00.0,LI F,LI Fabin,CHN,WLF
117,Silver Medal,2,2021-07-25 00:00:00.0,IRAWAN EY,IRAWAN Eko Yuli,INA,WLF
118,Bronze Medal,3,2021-07-25 00:00:00.0,SON I,SON Igor,KAZ,WLF
119,Gold Medal,1,2021-07-25 00:00:00.0,CHEN L,CHEN Lijun,CHN,WLF
120,Silver Medal,2,2021-07-25 00:00:00.0,MOSQUERA LOZANO LJ,MOSQUERA LOZANO Luis Javier,COL,WLF
121,Bronze Medal,3,2021-07-25 00:00:00.0,ZANNI M,ZANNI Mirko,ITA,WLF
122,Gold Medal,1,2021-07-26 00:00:00.0,KIM JD,KIM Je Deok,KOR,ARC
123,Gold Medal,1,2021-07-26 00:00:00.0,OH J,OH Jinhyek,KOR,ARC
124,Gold Medal,1,2021-07-26 00:00:00.0,KIM W,KIM Woojin,KOR,ARC
125,Silver Medal,2,2021-07-26 00:00:00.0,TANG CC,TANG Chih-Chun,TPE,ARC
126,Silver Medal,2,2021-07-26 00:00:00.0,WEI CH,WEI Chun-Heng,TPE,ARC
127,Silver Medal,2,2021-07-26 00:00:00.0,DENG YC,DENG Yu-Cheng,TPE,ARC
128,Bronze Medal,3,2021-07-26 00:00:00.0,FURUKAWA T,FURUKAWA Takaharu,JPN,ARC
129,Bronze Medal,3,2021-07-26 00:00:00.0,KAWATA Y,KAWATA Yuki,JPN,ARC
130,Bronze Medal,3,2021-07-26 00:00:00.0,MUTO H,MUTO Hiroki,JPN,ARC
131,Gold Medal,1,2021-07-26 00:00:00.0,ABLIAZIN D,ABLIAZIN Denis,ROC,GAR
132,Gold Medal,1,2021-07-26 00:00:00.0,BELYAVSKIY D,BELYAVSKIY David,ROC,GAR
133,Gold Medal,1,2021-07-26 00:00:00.0,DALALOYAN A,DALALOYAN Artur,ROC,GAR
134,Gold Medal,1,2021-07-26 00:00:00.0,NAGORNYY N,NAGORNYY Nikita,ROC,GAR
135,Silver Medal,2,2021-07-26 00:00:00.0,KAYA K,KAYA Kazuma,JPN,GAR
136,Silver Medal,2,2021-07-26 00:00:00.0,TANIGAWA W,TANIGAWA Wataru,JPN,GAR
137,Silver Medal,2,2021-07-26 00:00:00.0,KITAZONO T,KITAZONO Takeru,JPN,GAR
138,Silver Medal,2,2021-07-26 00:00:00.0,HASHIMOTO D,HASHIMOTO Daiki,JPN,GAR
139,Bronze Medal,3,2021-07-26 00:00:00.0,LIN C,LIN Chaopan,CHN,GAR
140,Bronze Medal,3,2021-07-26 00:00:00.0,SUN W,SUN Wei,CHN,GAR
141,Bronze Medal,3,2021-07-26 00:00:00.0,XIAO R,XIAO Ruoteng,CHN,GAR
142,Bronze Medal,3,2021-07-26 00:00:00.0,ZOU J,ZOU Jingyuan,CHN,GAR
143,Gold Medal,1,2021-07-26 00:00:00.0,SAVSEK B,SAVSEK Benjamin,SLO,CSL
144,Silver Medal,2,2021-07-26 00:00:00.0,ROHAN L,ROHAN Lukas,CZE,CSL
145,Bronze Medal,3,2021-07-26 00:00:00.0,TASIADIS S,TASIADIS Sideris,GER,CSL
146,Gold Medal,1,2021-07-26 00:00:00.0,PIDCOCK T,PIDCOCK Thomas,GBR,MTB
147,Silver Medal,2,2021-07-26 00:00:00.0,FLUECKIGER M,FLUECKIGER Mathias,SUI,MTB
148,Bronze Medal,3,2021-07-26 00:00:00.0,VALERO SERRANO D,VALERO SERRANO David,ESP,MTB
149,Gold Medal,1,2021-07-26 00:00:00.0,DALEY T,DALEY Thomas,GBR,DIV
150,Gold Medal,1,2021-07-26 00:00:00.0,LEE M,LEE Matty,GBR,DIV
151,Silver Medal,2,2021-07-26 00:00:00.0,CAO Y,CAO Yuan,CHN,DIV
152,Silver Medal,2,2021-07-26 00:00:00.0,CHEN A,CHEN Aisen,CHN,DIV
153,Bronze Medal,3,2021-07-26 00:00:00.0,BONDAR A,BONDAR Aleksandr,ROC,DIV
154,Bronze Medal,3,2021-07-26 00:00:00.0,MINIBAEV V,MINIBAEV Viktor,ROC,DIV
155,Gold Medal,1,2021-07-26 00:00:00.0,CHEUNG KL,CHEUNG Ka Long,HKG,FEN
156,Silver Medal,2,2021-07-26 00:00:00.0,GAROZZO D,GAROZZO Daniele,ITA,FEN
157,Bronze Medal,3,2021-07-26 00:00:00.0,CHOUPENITCH A,CHOUPENITCH Alexander,CZE,FEN
158,Gold Medal,1,2021-07-26 00:00:00.0,POZDNIAKOVA S,POZDNIAKOVA Sofia,ROC,FEN
159,Silver Medal,2,2021-07-26 00:00:00.0,VELIKAYA S,VELIKAYA Sofya,ROC,FEN
160,Bronze Medal,3,2021-07-26 00:00:00.0,BRUNET M,BRUNET Manon,FRA,FEN
161,Gold Medal,1,2021-07-26 00:00:00.0,ONO S,ONO Shohei,JPN,JUD
162,Silver Medal,2,2021-07-26 00:00:00.0,SHAVDATUASHVILI L,SHAVDATUASHVILI Lasha,GEO,JUD
163,Bronze Medal,3,2021-07-26 00:00:00.0,AN C,AN Changrim,KOR,JUD
164,Bronze Medal,3,2021-07-26 00:00:00.0,TSEND-OCHIR T,TSEND-OCHIR Tsogtbaatar,MGL,JUD
165,Gold Medal,1,2021-07-26 00:00:00.0,GJAKOVA N,GJAKOVA Nora,KOS,JUD
166,Silver Medal,2,2021-07-26 00:00:00.0,CYSIQUE SL,CYSIQUE Sarah Leonie,FRA,JUD
167,Bronze Medal,3,2021-07-26 00:00:00.0,KLIMKAIT J,KLIMKAIT Jessica,CAN,JUD
168,Bronze Medal,3,2021-07-26 00:00:00.0,YOSHIDA T,YOSHIDA Tsukasa,JPN,JUD
169,Gold Medal,1,2021-07-26 00:00:00.0,HANCOCK V,HANCOCK Vincent,USA,SHO
170,Silver Medal,2,2021-07-26 00:00:00.0,HANSEN J,HANSEN Jesper,DEN,SHO
171,Bronze Medal,3,2021-07-26 00:00:00.0,ALRASHIDI A,ALRASHIDI Abdullah,KUW,SHO
172,Gold Medal,1,2021-07-26 00:00:00.0,ENGLISH A,ENGLISH Amber,USA,SHO
173,Silver Medal,2,2021-07-26 00:00:00.0,BACOSI D,BACOSI Diana,ITA,SHO
174,Bronze Medal,3,2021-07-26 00:00:00.0,WEI M,WEI Meng,CHN,SHO
175,Gold Medal,1,2021-07-26 00:00:00.0,NISHIYA M,NISHIYA Momiji,JPN,SKB
176,Silver Medal,2,2021-07-26 00:00:00.0,LEAL R,LEAL Rayssa,BRA,SKB
177,Bronze Medal,3,2021-07-26 00:00:00.0,NAKAYAMA F,NAKAYAMA Funa,JPN,SKB
178,Gold Medal,1,2021-07-26 00:00:00.0,PEATY A,PEATY Adam,GBR,SWM
179,Silver Medal,2,2021-07-26 00:00:00.0,KAMMINGA A,KAMMINGA Arno,NED,SWM
180,Bronze Medal,3,2021-07-26 00:00:00.0,MARTINENGHI N,MARTINENGHI Nicolo,ITA,SWM
181,Gold Medal,1,2021-07-26 00:00:00.0,CURRY B,CURRY Brooks,USA,SWM
182,Gold Medal,1,2021-07-26 00:00:00.0,DRESSEL C,DRESSEL Caeleb,USA,SWM
183,Gold Medal,1,2021-07-26 00:00:00.0,BECKER B,BECKER Bowen,USA,SWM
184,Gold Medal,1,2021-07-26 00:00:00.0,PIERONI B,PIERONI Blake,USA,SWM
185,Gold Medal,1,2021-07-26 00:00:00.0,APPLE Z,APPLE Zach,USA,SWM
186,Silver Medal,2,2021-07-26 00:00:00.0,CECCON T,CECCON Thomas,ITA,SWM
187,Silver Medal,2,2021-07-26 00:00:00.0,FRIGO M,FRIGO Manuel,ITA,SWM
188,Silver Medal,2,2021-07-26 00:00:00.0,ZAZZERI L,ZAZZERI Lorenzo,ITA,SWM
189,Silver Medal,2,2021-07-26 00:00:00.0,CONDORELLI S,CONDORELLI Santo,ITA,SWM
190,Silver Medal,2,2021-07-26 00:00:00.0,MIRESSI A,MIRESSI Alessandro,ITA,SWM
191,Bronze Medal,3,2021-07-26 00:00:00.0,CHALMERS K,CHALMERS Kyle,AUS,SWM
192,Bronze Medal,3,2021-07-26 00:00:00.0,GRAHAM A,GRAHAM Alexander,AUS,SWM
193,Bronze Medal,3,2021-07-26 00:00:00.0,INCERTI Z,INCERTI Zac,AUS,SWM
194,Bronze Medal,3,2021-07-26 00:00:00.0,McEVOY C,McEVOY Cameron,AUS,SWM
195,Bronze Medal,3,2021-07-26 00:00:00.0,TEMPLE M,TEMPLE Matthew,AUS,SWM
196,Gold Medal,1,2021-07-26 00:00:00.0,MACNEIL M,MACNEIL Margaret,CAN,SWM
197,Silver Medal,2,2021-07-26 00:00:00.0,ZHANG Y,ZHANG Yufei,CHN,SWM
198,Bronze Medal,3,2021-07-26 00:00:00.0,McKEON E,McKEON Emma,AUS,SWM
199,Gold Medal,1,2021-07-26 00:00:00.0,TITMUS A,TITMUS Ariarne,AUS,SWM
200,Silver Medal,2,2021-07-26 00:00:00.0,LEDECKY K,LEDECKY Kathleen,USA,SWM
201,Bronze Medal,3,2021-07-26 00:00:00.0,LI B,LI Bingjie,CHN,SWM
202,Gold Medal,1,2021-07-26 00:00:00.0,MIZUTANI J,MIZUTANI Jun,JPN,TTE
203,Gold Medal,1,2021-07-26 00:00:00.0,ITO M,ITO Mima,JPN,TTE
204,Silver Medal,2,2021-07-26 00:00:00.0,XU X,XU Xin,CHN,TTE
205,Silver Medal,2,2021-07-26 00:00:00.0,LIU S,LIU Shiwen,CHN,TTE
206,Bronze Medal,3,2021-07-26 00:00:00.0,LIN YJ,LIN Yun Ju,TPE,TTE
207,Bronze Medal,3,2021-07-26 00:00:00.0,CHENG IC,CHENG I Ching,TPE,TTE
208,Gold Medal,1,2021-07-26 00:00:00.0,KHRAMTCOV M,KHRAMTCOV Maksim,ROC,TKW
209,Silver Medal,2,2021-07-26 00:00:00.0,ELSHARABATY S,ELSHARABATY Saleh,JOR,TKW
210,Bronze Medal,3,2021-07-26 00:00:00.0,KANAET T,KANAET Toni,CRO,TKW
211,Bronze Medal,3,2021-07-26 00:00:00.0,EISSA S,EISSA Seif,EGY,TKW
212,Gold Medal,1,2021-07-26 00:00:00.0,JELIC M,JELIC Matea,CRO,TKW
213,Silver Medal,2,2021-07-26 00:00:00.0,WILLIAMS L,WILLIAMS Lauren,GBR,TKW
214,Bronze Medal,3,2021-07-26 00:00:00.0,GBAGBI R,GBAGBI Ruth,CIV,TKW
215,Bronze Medal,3,2021-07-26 00:00:00.0,MALAK H,MALAK Hedaya,EGY,TKW
216,Gold Medal,1,2021-07-26 00:00:00.0,BLUMMENFELT K,BLUMMENFELT Kristian,NOR,TRI
217,Silver Medal,2,2021-07-26 00:00:00.0,YEE A,YEE Alex,GBR,TRI
218,Bronze Medal,3,2021-07-26 00:00:00.0,WILDE H,WILDE Hayden,NZL,TRI
219,Gold Medal,1,2021-07-26 00:00:00.0,DIAZ H,DIAZ Hidilyn,PHI,WLF
220,Silver Medal,2,2021-07-26 00:00:00.0,LIAO Q,LIAO Qiuyun,CHN,WLF
221,Bronze Medal,3,2021-07-26 00:00:00.0,CHINSHANLO Z,CHINSHANLO Zulfiya,KAZ,WLF
222,Gold Medal,1,2021-07-27 00:00:00.0,AKHAIMOVA L,AKHAIMOVA Liliia,ROC,GAR
223,Gold Medal,1,2021-07-27 00:00:00.0,MELNIKOVA A,MELNIKOVA Angelina,ROC,GAR
224,Gold Medal,1,2021-07-27 00:00:00.0,URAZOVA V,URAZOVA Vladislava,ROC,GAR
225,Gold Medal,1,2021-07-27 00:00:00.0,LISTUNOVA V,LISTUNOVA Viktoriia,ROC,GAR
226,Silver Medal,2,2021-07-27 00:00:00.0,Mc CALLUM G,Mc CALLUM Grace,USA,GAR
227,Silver Medal,2,2021-07-27 00:00:00.0,LEE S,LEE Sunisa,USA,GAR
228,Silver Medal,2,2021-07-27 00:00:00.0,CHILES J,CHILES Jordan,USA,GAR
229,Silver Medal,2,2021-07-27 00:00:00.0,BILES S,BILES Simone,USA,GAR
230,Bronze Medal,3,2021-07-27 00:00:00.0,GADIROVA J,GADIROVA Jennifer,GBR,GAR
231,Bronze Medal,3,2021-07-27 00:00:00.0,GADIROVA J,GADIROVA Jessica,GBR,GAR
232,Bronze Medal,3,2021-07-27 00:00:00.0,KINSELLA A,KINSELLA Alice,GBR,GAR
233,Bronze Medal,3,2021-07-27 00:00:00.0,MORGAN A,MORGAN Amelie,GBR,GAR
234,Gold Medal,1,2021-07-27 00:00:00.0,UENO Y,UENO Yukiko,JPN,BSB
235,Gold Medal,1,2021-07-27 00:00:00.0,GOTO M,GOTO Miu,JPN,BSB
236,Gold Medal,1,2021-07-27 00:00:00.0,FUJITA Y,FUJITA Yamato,JPN,BSB
237,Gold Medal,1,2021-07-27 00:00:00.0,AGATSUMA H,AGATSUMA Haruka,JPN,BSB
238,Gold Medal,1,2021-07-27 00:00:00.0,KIYOHARA N,KIYOHARA Nayu,JPN,BSB
239,Gold Medal,1,2021-07-27 00:00:00.0,ATSUMI M,ATSUMI Mana,JPN,BSB
240,Gold Medal,1,2021-07-27 00:00:00.0,ICHIGUCHI Y,ICHIGUCHI Yuka,JPN,BSB
241,Gold Medal,1,2021-07-27 00:00:00.0,KAWABATA H,KAWABATA Hitomi,JPN,BSB
242,Gold Medal,1,2021-07-27 00:00:00.0,NAITO M,NAITO Minori,JPN,BSB
243,Gold Medal,1,2021-07-27 00:00:00.0,YAMAMOTO Y,YAMAMOTO Yu,JPN,BSB
244,Gold Medal,1,2021-07-27 00:00:00.0,HARADA N,HARADA Nodoka,JPN,BSB
245,Gold Medal,1,2021-07-27 00:00:00.0,MORI S,MORI Sayaka,JPN,BSB
246,Gold Medal,1,2021-07-27 00:00:00.0,YAMAZAKI S,YAMAZAKI Saki,JPN,BSB
247,Gold Medal,1,2021-07-27 00:00:00.0,YAMADA E,YAMADA Eri,JPN,BSB
248,Gold Medal,1,2021-07-27 00:00:00.0,MINE Y,MINE Yukiyo,JPN,BSB
249,Silver Medal,2,2021-07-27 00:00:00.0,AGUILAR A,AGUILAR Ali,USA,BSB
250,Silver Medal,2,2021-07-27 00:00:00.0,CARDA A,CARDA Ally,USA,BSB
251,Silver Medal,2,2021-07-27 00:00:00.0,CHIDESTER A,CHIDESTER Amanda,USA,BSB
252,Silver Medal,2,2021-07-27 00:00:00.0,MUNRO A,MUNRO Aubree,USA,BSB
253,Silver Medal,2,2021-07-27 00:00:00.0,MULIPOLA D,MULIPOLA Dejah,USA,BSB
254,Silver Medal,2,2021-07-27 00:00:00.0,SPAULDING D,SPAULDING Delaney,USA,BSB
255,Silver Medal,2,2021-07-27 00:00:00.0,Mc CLENEY H,Mc CLENEY Haylie,USA,BSB
256,Silver Medal,2,2021-07-27 00:00:00.0,REED J,REED Janie,USA,BSB
257,Silver Medal,2,2021-07-27 00:00:00.0,MOULTRIE M,MOULTRIE Michelle,USA,BSB
258,Silver Medal,2,2021-07-27 00:00:00.0,NICKLES B,NICKLES Bubba,USA,BSB
259,Silver Medal,2,2021-07-27 00:00:00.0,GARCIA R,GARCIA Rachel,USA,BSB
260,Silver Medal,2,2021-07-27 00:00:00.0,ARIOTO V,ARIOTO Valerie,USA,BSB
261,Silver Medal,2,2021-07-27 00:00:00.0,OSTERMAN C,OSTERMAN Cat,USA,BSB
262,Silver Medal,2,2021-07-27 00:00:00.0,STEWART K,STEWART Kelsey,USA,BSB
263,Silver Medal,2,2021-07-27 00:00:00.0,ABBOTT M,ABBOTT Monica,USA,BSB
